,0
0,36.361343
1,36.285294
2,33.365868
3,31.90589
4,30.842888
5,29.178957
6,27.500858
7,27.167387
8,26.736471
9,26.229563
10,28.145348
11,26.762167
12,26.342867
13,24.726076
14,23.830498
15,23.335564
16,23.728306
17,24.176933
18,22.699677
19,23.188725
20,22.026
21,22.1245
22,22.414066
23,21.134058
24,20.716925
25,20.62294
26,19.968369
27,20.566685
28,20.627447
29,20.598646
30,20.175865
31,19.79302
32,19.912037
33,20.095871
34,21.216547
35,21.44685
36,20.77913
37,20.108599
38,19.233368
39,19.37462
40,19.849129
41,19.489801
42,20.202887
43,19.775627
44,20.051895
45,20.883898
46,21.12646
47,22.04582
48,22.015858
49,22.08558
50,22.561996
51,22.676256
52,23.548164
53,24.314154
54,25.227045
55,26.514463
56,27.541895
57,28.419746
58,29.993685
59,32.32825
60,38.434574
61,42.84231
62,45.35331
63,48.91568
64,55.12777
65,55.677986
66,55.257862
67,56.487675
68,59.34487
69,63.59328
70,68.698425
71,71.18671
72,72.62408
73,75.04793
74,75.13454
75,74.012985
76,79.08815
77,81.99558
78,80.50602
79,96.59867
80,94.87346
81,96.02372
82,97.35125
83,93.14987
84,90.83981
85,90.79286
86,92.40987
87,93.16193
88,97.907906
89,103.13945
90,104.952286
91,105.68261
92,107.79428
93,107.73554
94,108.30692
95,109.68532
96,108.87509
97,108.91052
98,106.877594
99,109.328285
100,109.06385
101,111.62661
102,110.856895
103,111.26148
104,109.8762
105,108.386856
106,109.08689
107,107.05962
108,107.91393
109,107.19137
110,105.0595
111,107.825035
112,105.97424
113,105.24307
114,107.868
115,102.60036
116,101.073975
117,99.88634
118,97.556786
119,101.01587
120,101.59087
121,101.01761
122,98.19345
123,97.65887
124,99.7872
125,93.56592
126,101.90338
127,103.71865
128,102.62243
129,107.57345
130,105.968185
131,106.978004
132,106.76392
133,103.231964
134,103.04977
135,103.87017
136,104.56436
137,107.27022
138,107.46844
139,102.83796
140,105.351585
141,105.99147
142,105.62907
143,109.46368
144,107.04077
145,108.74025
146,107.4991
147,107.81229
148,111.186905
149,111.2498
150,111.43452
151,111.396255
152,109.34752
153,109.96896
154,113.14681
155,113.31275
156,113.75906
157,112.886765
158,110.952446
159,111.37561
160,111.76312
161,114.920586
162,116.418755
163,117.004105
164,115.31546
165,116.59455
166,116.27842
167,117.047264
168,117.952866
169,113.50465
170,112.15021
171,112.59422
172,110.404564
173,105.8684
174,104.77928
175,102.82201
176,109.74477
177,104.63938
178,107.3499
179,107.059944
180,97.84423
181,100.62594
182,103.68227
183,102.72885
184,103.329346
185,102.41504
186,99.63821
187,101.01447
188,100.50025
189,100.15503
190,102.02104
191,103.33955
192,104.25604
193,100.73391
194,95.17731
195,94.92299
196,94.01017
197,93.17576
198,93.17206
199,85.885506
200,82.95284
201,82.244095
202,82.841866
203,81.43651
204,78.835304
205,91.31994
206,93.56578
207,101.19585
208,104.96964
209,100.64908
210,100.78399
211,98.33965
212,94.22732
213,98.25532
214,95.27935
215,89.38478
216,95.44405
217,97.0273
218,96.84693
219,99.90627
220,102.01864
221,100.35996
222,103.32241
223,102.371506
224,99.820656
225,98.51296
226,101.89662
227,100.72252
228,101.96314
229,104.9437
230,106.52068
231,108.843506
232,108.396095
233,109.4459
234,108.76581
235,108.918884
236,108.22817
237,109.97541
238,107.86513
239,103.7448
240,106.766945
241,102.7649
242,101.77764
243,100.018814
244,96.95441
245,99.28199
246,98.775665
247,95.13015
248,93.17662
249,91.208694
250,89.52419
251,94.76377
252,92.7972
253,88.45785
254,89.31801
255,91.444244
256,91.78314
257,94.821526
258,92.10744
259,89.07515
260,87.71814
261,82.27732
262,81.5706
263,80.55263
264,59.663567
265,66.779106
266,66.529625
267,68.08222
268,71.73507
269,70.66633
270,72.78858
271,64.399475
272,63.216522
273,58.750584
274,58.317707
275,57.39994
276,56.33058
277,55.310417
278,52.056297
279,51.177654
280,49.04837
281,52.378494
282,54.81225
283,55.552944
284,53.578705
285,50.099102
286,46.875744
287,44.091747
